"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2021","0.000384","0.000356","0.000408","0.000336","1.36B","7.68%"
"10/06/2021","0.000356","0.000420","0.000448","0.000347","2.26B","-15.16%"
"10/05/2021","0.000420","0.000339","0.000423","0.000331","1.60B","23.92%"
"10/04/2021","0.000339","0.000331","0.000350","0.000323","694.99M","2.27%"
"10/03/2021","0.000331","0.000324","0.000340","0.000316","473.55M","2.38%"
"10/02/2021","0.000324","0.000336","0.000359","0.000315","1.17B","-3.71%"
"10/01/2021","0.000336","0.000315","0.000342","0.000311","408.32M","6.83%"
"09/30/2021","0.000315","0.000309","0.000330","0.000300","615.24M","1.77%"
"09/29/2021","0.000309","0.000293","0.000345","0.000291","1.45B","5.44%"
"09/28/2021","0.000293","0.000280","0.000325","0.000277","871.63M","4.88%"
"09/27/2021","0.000280","0.000310","0.000320","0.000276","647.35M","-9.81%"
"09/26/2021","0.000310","0.000408","0.000410","0.000300","1.38B","-24.04%"
"09/25/2021","0.000408","0.000443","0.000447","0.000400","385.20M","-8.58%"
"09/24/2021","0.000446","0.000499","0.000507","0.000417","974.69M","-10.55%"
"09/23/2021","0.000499","0.000496","0.000508","0.000488","239.44M","0.62%"
"09/22/2021","0.000496","0.000456","0.000504","0.000452","335.28M","8.71%"
"09/21/2021","0.000456","0.000506","0.000515","0.000451","429.83M","-9.85%"
"09/20/2021","0.000506","0.000589","0.000591","0.000501","558.59M","-14.14%"
"09/19/2021","0.000589","0.000592","0.000598","0.000583","92.46M","-0.17%"
"09/18/2021","0.000590","0.000597","0.000607","0.000579","239.90M","-1.12%"
"09/17/2021","0.000597","0.000590","0.000607","0.000573","280.97M","1.20%"
"09/16/2021","0.000590","0.000613","0.000614","0.000586","381.81M","-3.77%"
"09/15/2021","0.000613","0.000588","0.000615","0.000578","327.53M","4.30%"
"09/14/2021","0.000588","0.000594","0.000602","0.000577","474.63M","-1.12%"
"09/13/2021","0.000594","0.000612","0.000680","0.000551","5.15B","-2.79%"
"09/12/2021","0.000612","0.000590","0.000625","0.000577","393.14M","4.34%"
"09/11/2021","0.000586","0.000567","0.000650","0.000537","5.11B","3.29%"
"09/10/2021","0.000567","0.000585","0.000625","0.000555","509.22M","-2.93%"
"09/09/2021","0.000585","0.000575","0.000596","0.000560","456.19M","1.65%"
"09/08/2021","0.000575","0.000561","0.000589","0.000540","699.06M","2.57%"
"09/07/2021","0.000561","0.000710","0.000723","0.000540","1.23B","-21.04%"
"09/06/2021","0.000710","0.000702","0.000767","0.000666","1.34B","1.20%"
"09/05/2021","0.000702","0.000622","0.000715","0.000615","1.37B","12.84%"
"09/04/2021","0.000622","0.000617","0.000644","0.000603","639.02M","0.83%"
"09/03/2021","0.000617","0.000631","0.000638","0.000616","359.69M","-2.27%"
"09/02/2021","0.000631","0.000634","0.000668","0.000626","703.35M","-0.45%"
"09/01/2021","0.000634","0.000618","0.000697","0.000596","1.68B","2.59%"
"08/31/2021","0.000618","0.000589","0.000635","0.000580","444.59M","4.90%"
"08/30/2021","0.000589","0.000624","0.000624","0.000589","315.66M","-5.61%"
"08/29/2021","0.000624","0.000620","0.000632","0.000610","213.13M","0.65%"
"08/28/2021","0.000620","0.000635","0.000642","0.000620","220.41M","-2.37%"
"08/27/2021","0.000635","0.000617","0.000636","0.000601","251.24M","2.99%"
"08/26/2021","0.000617","0.000678","0.000690","0.000610","682.72M","-9.10%"
"08/25/2021","0.000678","0.000674","0.000690","0.000651","554.48M","0.68%"
"08/24/2021","0.000674","0.000737","0.000741","0.000670","389.34M","-8.58%"
"08/23/2021","0.000737","0.000725","0.000745","0.000700","477.38M","1.65%"
