"Date","Price","Open","High","Low","Change.."
2021-07-23,"16,119.10","16,127.85","16,161.65","16,032.00","0.15%"
2021-07-26,"16,094.20","16,117.25","16,156.20","16,066.15","-0.15%"
2021-07-27,"16,011.05","16,131.45","16,152.70","15,967.15","-0.52%"
2021-07-28,"15,983.90","16,030.60","16,030.60","15,781.90","-0.17%"
2021-07-29,"16,045.20","16,040.50","16,082.55","16,013.80","0.38%"
2021-07-30,"16,040.15","16,073.55","16,138.65","16,022.00","-0.03%"
2021-08-02,"16,166.95","16,151.80","16,174.95","16,112.80","0.79%"
2021-08-03,"16,399.95","16,235.40","16,415.95","16,201.90","1.44%"
2021-08-04,"16,494.55","16,465.55","16,544.70","16,448.85","0.58%"
2021-08-05,"16,520.50","16,526.35","16,566.20","16,430.90","0.16%"
2021-08-06,"16,476.55","16,533.75","16,564.00","16,463.00","-0.27%"
2021-08-09,"16,483.45","16,524.05","16,554.45","16,404.90","0.04%"
2021-08-10,"16,493.85","16,505.00","16,578.65","16,407.50","0.06%"
2021-08-11,"16,490.15","16,535.45","16,547.75","16,345.50","-0.02%"
2021-08-12,"16,569.30","16,512.00","16,577.80","16,485.70","0.48%"
2021-08-13,"16,716.15","16,591.85","16,731.20","16,582.90","0.89%"
2021-08-16,"16,748.00","16,709.15","16,769.30","16,667.55","0.19%"
2021-08-17,"16,805.15","16,733.65","16,819.55","16,680.50","0.34%"
2021-08-18,"16,778.80","16,876.60","16,897.30","16,749.95","-0.16%"
2021-08-20,"16,642.15","16,599.00","16,724.60","16,586.60","-0.81%"
2021-08-23,"16,673.35","16,784.25","16,784.80","16,574.10","0.19%"
2021-08-24,"16,808.00","16,744.60","16,825.70","16,678.40","0.81%"
2021-08-25,"16,830.10","16,844.80","16,896.45","16,809.40","0.13%"
2021-08-26,"16,841.60","16,834.65","16,888.85","16,804.85","0.07%"
2021-08-27,"16,930.85","16,858.75","16,945.50","16,782.80","0.53%"
2021-08-30,"17,164.20","17,003.40","17,183.05","16,993.35","1.38%"
2021-08-31,"17,373.10","17,182.90","17,394.60","17,153.40","1.22%"
2021-09-01,"17,343.30","17,432.65","17,470.65","17,321.70","-0.17%"
2021-09-02,"17,504.60","17,363.15","17,515.55","17,328.60","0.93%"
2021-09-03,"17,597.45","17,542.50","17,613.50","17,487.60","0.53%"
2021-09-06,"17,641.00","17,677.60","17,695.75","17,613.85","0.25%"
2021-09-07,"17,618.70","17,669.40","17,691.15","17,542.80","-0.13%"
2021-09-08,"17,626.20","17,633.80","17,647.95","17,521.85","0.04%"
2021-09-09,"17,652.90","17,591.25","17,663.35","17,579.55","0.15%"
2021-09-13,"17,648.60","17,649.95","17,669.25","17,558.15","-0.02%"
2021-09-14,"17,678.45","17,716.45","17,733.25","17,666.15","0.17%"
2021-09-15,"17,809.50","17,694.60","17,823.00","17,690.95","0.74%"
2021-09-16,"17,925.05","17,838.25","17,941.20","17,808.85","0.65%"
2021-09-17,"17,864.55","17,997.30","18,072.50","17,814.80","-0.34%"
2021-09-20,"17,654.10","17,719.65","17,888.70","17,619.65","-1.18%"
2021-09-21,"17,817.95","17,696.00","17,834.40","17,577.10","0.93%"
2021-09-22,"17,817.70","17,838.85","17,875.95","17,787.00","0.00%"
2021-09-23,"18,085.80","17,939.85","18,104.95","17,917.30","1.50%"
2021-09-24,"18,090.20","18,159.65","18,204.05","18,054.60","0.02%"
2021-09-27,"18,085.55","18,167.90","18,168.05","18,028.00","-0.03%"
2021-09-28,"17,973.15","18,135.90","18,141.55","17,811.20","-0.62%"
2021-09-29,"17,926.05","17,881.70","17,998.15","17,834.80","-0.26%"
2021-09-30,"17,845.10","17,939.35","17,962.55","17,814.95","-0.45%"
2021-10-01,"17,778.55","17,768.00","17,802.25","17,686.60","-0.37%"
2021-10-04,"17,956.75","17,867.80","17,992.25","17,837.35","1.00%"
2021-10-05,"18,082.80","17,934.55","18,093.20","17,912.35","0.70%"
2021-10-06,"17,905.85","18,130.35","18,157.45","17,873.55","-0.98%"
2021-10-07,"18,058.00","18,072.50","18,122.40","18,031.50","0.85%"
2021-10-08,"18,141.70","18,154.00","18,195.30","18,092.55","0.46%"
2021-10-11,"18,198.90","18,128.70","18,289.45","18,100.70","0.32%"
2021-10-12,"18,258.85","18,181.55","18,275.00","18,125.20","0.33%"
2021-10-13,"18,433.20","18,365.90","18,469.10","18,323.35","0.95%"
2021-10-14,"18,610.35","18,543.05","18,621.60","18,525.80","0.96%"
2021-10-18,"18,734.90","18,789.30","18,807.50","18,717.65","0.67%"
2021-10-19,"18,646.15","18,869.65","18,870.70","18,604.10","-0.47%"
2021-10-20,"18,467.75","18,665.05","18,678.75","18,399.75","-0.96%"
2021-10-21,"18,374.10","18,587.20","18,588.45","18,240.20","-0.51%"
2021-10-22,"18,285.15","18,426.35","18,502.85","18,203.00","-0.48%"
2021-10-25,"18,272.40","18,396.20","18,406.15","18,096.65","-0.07%"
2021-10-26,"18,425.15","18,301.00","18,463.85","18,260.75","0.84%"
2021-10-27,"18,390.05","18,457.20","18,515.80","18,348.25","-0.19%"
2021-10-28,"18,028.10","18,368.25","18,369.65","17,971.60","-1.97%"
2021-10-29,"17,880.80","18,010.55","18,114.50","17,782.45","-0.82%"
2021-11-01,"18,134.60","17,996.55","18,156.45","17,901.50","1.42%"
2021-11-02,"18,101.00","18,174.70","18,211.00","18,062.10","-0.19%"
2021-11-03,"18,066.95","18,161.20","18,200.00","17,979.85","-0.19%"
2021-11-04,"18,156.15","18,176.70","18,188.20","18,139.90","0.49%"
